投资者范围,投资者代码,投资者名称,交易所,合约,生效日期,截止日期,保证金分段名称,投机多头保证金率,投机多头保证金费,投机空头保证金率,投机空头保证金费,保值多头保证金率,保值多头保证金费,保值空头保证金率,保值空头保证金费,是否跟随交易所收取
单一投资者,000666,中信证券-金融投资业务,GFEX,si2308,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
单一投资者,000666,中信证券-金融投资业务,GFEX,si2309,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
单一投资者,000666,中信证券-金融投资业务,GFEX,si2310,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
单一投资者,000666,中信证券-金融投资业务,GFEX,si2311,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
单一投资者,000666,中信证券-金融投资业务,GFEX,si2312,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
单一投资者,000666,中信证券-金融投资业务,GFEX,si2401,,,,0.2,0,0.2,0,0.2,0,0.2,0,是
